,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.8622589531680441,0.871866295264624,0.8670360110803325,0.76,0.83,0.79,0.69,0.78,0.73,0.5541666666666667,0.8209876543209876,0.6616915422885572,0.75,0.861244019138756,0.8017817371937639
1,0.8294360385144429,0.8398328690807799,0.8346020761245675,0.81,0.67,0.73,0.73,0.68,0.71,0.4957627118644068,0.7597402597402597,0.6000000000000001,0.7161016949152542,0.8203883495145631,0.7647058823529412
2,0.850828729281768,0.8579387186629527,0.8543689320388349,0.79,0.78,0.78,0.7,0.74,0.72,0.5622317596566524,0.7891566265060241,0.6566416040100251,0.7682403433476395,0.8364485981308412,0.8008948545861297
3,0.8205128205128205,0.8467966573816156,0.8334475668265935,0.8,0.82,0.81,0.7,0.77,0.73,0.5355648535564853,0.810126582278481,0.6448362720403022,0.7824267782426778,0.8617511520737328,0.8201754385964912
4,0.8571428571428571,0.8690807799442897,0.8630705394190871,0.82,0.79,0.81,0.72,0.75,0.73,0.5648535564853556,0.8181818181818182,0.6683168316831684,0.7573221757322176,0.8578199052132701,0.8044444444444445
5,0.8484438430311232,0.8732590529247911,0.8606726149622512,0.79,0.75,0.77,0.69,0.74,0.72,0.5125,0.7935483870967742,0.6227848101265822,0.7166666666666667,0.8431372549019608,0.7747747747747747
6,0.8549511854951185,0.8537604456824512,0.8543554006968641,0.79,0.85,0.82,0.7,0.78,0.74,0.5774058577405857,0.8214285714285714,0.6781326781326781,0.7573221757322176,0.8578199052132701,0.8044444444444445
7,0.8648275862068966,0.8732590529247911,0.8690228690228691,0.8,0.75,0.78,0.74,0.74,0.74,0.56,0.75,0.6412213740458016,0.7866666666666666,0.8082191780821918,0.7972972972972971
8,0.8324324324324325,0.8579387186629527,0.8449931412894376,0.76,0.82,0.79,0.66,0.79,0.72,0.525,0.802547770700637,0.6347607052896724,0.7291666666666666,0.8495145631067961,0.7847533632286995
9,0.8507670850767085,0.8495821727019499,0.8501742160278745,0.86,0.78,0.82,0.74,0.73,0.74,0.5947136563876652,0.7714285714285715,0.6716417910447762,0.788546255506608,0.817351598173516,0.8026905829596412
