,Mean,Std
NER_P,0.8471601530862213,0.01479381672302998
NER_R,0.8593314763231199,0.012052697294101376
NER_F,0.853174336748871,0.012518031277908622
REL_P,0.798,0.028982753492378867
REL_R,0.784,0.05211099265563412
REL_F,0.7900000000000001,0.02748737083745107
JOINT_P,0.7070000000000001,0.025407785333546005
JOINT_R,0.75,0.03231786571610886
JOINT_F,0.728,0.010327955589886454
STRICT_P,0.5482199062357818,0.030527977770452675
STRICT_R,0.7937146241682125,0.02590709556313774
STRICT_F,0.6480027608661565,0.02429646857738237
RELAXED_P,0.7552459423476615,0.02736731162644221
RELAXED_R,0.8413694523548898,0.0198923054032257
RELAXED_F,0.7955962819878628,0.016280844312666902
