,Mean,Std
NER_P,0.8397253042750498,0.009981784384099834
NER_R,0.8451253481894151,0.008247509003232113
NER_F,0.842377017136075,0.006862143120828629
REL_P,0.766,0.022211108331943594
REL_R,0.799,0.03212821536005729
REL_F,0.782,0.009189365834726822
JOINT_P,0.677,0.02002775851439971
JOINT_R,0.753,0.021108186931983436
JOINT_F,0.715,0.009718253158075509
STRICT_P,0.5146016255832824,0.02159916042075312
STRICT_R,0.7907638710494308,0.02666066289199295
STRICT_F,0.6229484612516695,0.014971688939501428
RELAXED_P,0.7296479957984926,0.033028744802863955
RELAXED_R,0.8427151399952482,0.01987268435270741
RELAXED_F,0.7814309882090843,0.015310081359155455
