,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.8464730290456431,0.8523676880222841,0.84941013185288,0.77,0.82,0.79,0.69,0.78,0.73,0.5352697095435685,0.821656050955414,0.6482412060301508,0.7302904564315352,0.8627450980392157,0.7910112359550561
1,0.8411602209944752,0.8481894150417827,0.8446601941747574,0.76,0.79,0.77,0.66,0.76,0.71,0.48535564853556484,0.7785234899328859,0.5979381443298969,0.694560669456067,0.8341708542713567,0.7579908675799087
2,0.8450899031811895,0.850974930362117,0.8480222068008326,0.78,0.79,0.79,0.69,0.75,0.72,0.5,0.7894736842105263,0.6122448979591837,0.7291666666666666,0.8454106280193237,0.7829977628635345
3,0.8297297297297297,0.8551532033426184,0.8422496570644719,0.78,0.78,0.78,0.67,0.75,0.71,0.49795918367346936,0.8187919463087249,0.6192893401015227,0.6775510204081633,0.8601036269430051,0.7579908675799086
4,0.8344827586206897,0.8426183844011143,0.8385308385308385,0.76,0.78,0.77,0.68,0.74,0.71,0.5407725321888412,0.782608695652174,0.6395939086294417,0.776824034334764,0.8379629629629629,0.8062360801781737
5,0.8321870701513068,0.8426183844011143,0.8373702422145328,0.77,0.78,0.78,0.67,0.73,0.7,0.5,0.7748344370860927,0.6077922077922078,0.7393162393162394,0.8357487922705314,0.7845804988662132
6,0.8237704918032787,0.8398328690807799,0.8317241379310345,0.79,0.76,0.77,0.68,0.73,0.71,0.5126050420168067,0.7870967741935484,0.6208651399491094,0.7478991596638656,0.8436018957345972,0.7928730512249443
7,0.8432732316227461,0.8467966573816156,0.8450312717164697,0.74,0.83,0.79,0.66,0.78,0.72,0.5294117647058824,0.782608695652174,0.631578947368421,0.7226890756302521,0.8309178743961353,0.7730337078651686
8,0.8587570621468926,0.8467966573816156,0.85273492286115,0.79,0.79,0.79,0.72,0.73,0.73,0.5466666666666666,0.7409638554216867,0.629156010230179,0.7777777777777778,0.8027522935779816,0.7900677200902934
9,0.8423295454545454,0.8259052924791086,0.8340365682137834,0.72,0.87,0.79,0.65,0.78,0.71,0.4979757085020243,0.831081081081081,0.6227848101265823,0.7004048582995951,0.8737373737373737,0.7775280898876403
