,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.6712328767123288,0.6363636363636364,0.6533333333333333,0.42,0.85,0.56,0.53,0.62,0.57,0.39285714285714285,0.7333333333333333,0.5116279069767441,0.6071428571428571,0.8095238095238095,0.6938775510204083
1,0.7066666666666667,0.6883116883116883,0.6973684210526315,0.47,0.8,0.59,0.62,0.62,0.62,0.4074074074074074,0.7857142857142857,0.5365853658536585,0.6666666666666666,0.8571428571428571,0.75
2,0.7297297297297297,0.7012987012987013,0.7152317880794701,0.53,0.75,0.62,0.48,0.62,0.55,0.46153846153846156,0.7058823529411765,0.558139534883721,0.6923076923076923,0.782608695652174,0.7346938775510203
3,0.7307692307692307,0.7402597402597403,0.7354838709677418,0.61,0.72,0.66,0.65,0.73,0.69,0.5,0.7647058823529411,0.6046511627906976,0.6923076923076923,0.8181818181818182,0.7500000000000001
4,0.7763157894736842,0.7662337662337663,0.7712418300653594,0.51,0.72,0.59,0.57,0.71,0.64,0.5,0.7222222222222222,0.5909090909090908,0.7692307692307693,0.8,0.7843137254901961
5,0.6933333333333334,0.6753246753246753,0.6842105263157895,0.45,0.8,0.58,0.5,0.7,0.58,0.5,0.6666666666666666,0.5714285714285715,0.875,0.7777777777777778,0.823529411764706
6,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.49,0.77,0.6,0.52,0.72,0.61,0.42857142857142855,0.8,0.5581395348837209,0.6428571428571429,0.8571428571428571,0.7346938775510204
7,0.75,0.7402597402597403,0.7450980392156864,0.6,0.71,0.65,0.63,0.65,0.64,0.44,0.6470588235294118,0.5238095238095238,0.72,0.75,0.7346938775510204
8,0.7534246575342466,0.7142857142857143,0.7333333333333334,0.61,0.66,0.63,0.66,0.65,0.65,0.38461538461538464,0.625,0.4761904761904762,0.6538461538461539,0.7391304347826086,0.693877551020408
9,0.6875,0.7142857142857143,0.7006369426751592,0.47,0.78,0.59,0.5,0.73,0.59,0.4074074074074074,0.7333333333333333,0.5238095238095238,0.6666666666666666,0.8181818181818182,0.7346938775510203
