,Mean,Std
NER_P,0.8289383000461411,0.013866409917803779
NER_R,0.842200557103064,0.010769258385512423
NER_F,0.8354738293765649,0.010695837437539067
REL_P,0.768,0.037947331922020565
REL_R,0.808,0.04638007234913622
REL_F,0.786,0.008432740427115688
JOINT_P,0.6629999999999999,0.02830390628713838
JOINT_R,0.757,0.030930028559098818
JOINT_F,0.7049999999999998,0.013540064007726612
STRICT_P,0.5161883136832427,0.018165748591693245
STRICT_R,0.8095690078064604,0.02466466716681418
STRICT_F,0.6300601362686565,0.013784766581963903
RELAXED_P,0.7351761692434483,0.018154473160837667
RELAXED_R,0.8580564075052299,0.02052250060528914
RELAXED_F,0.7916526960141429,0.0130754174257569
