,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.8495821727019499,0.8495821727019499,0.8495821727019499,0.81,0.8,0.8,0.71,0.73,0.72,0.5321888412017167,0.7948717948717948,0.6375321336760925,0.7682403433476395,0.8483412322274881,0.8063063063063064
1,0.8624484181568088,0.8732590529247911,0.8678200692041522,0.81,0.81,0.81,0.72,0.78,0.75,0.551440329218107,0.8220858895705522,0.6600985221674878,0.7325102880658436,0.8599033816425121,0.7911111111111111
2,0.8716502115655853,0.8607242339832869,0.8661527680448494,0.81,0.79,0.8,0.74,0.74,0.74,0.5840336134453782,0.8373493975903614,0.6881188118811882,0.7983193277310925,0.8755760368663594,0.8351648351648351
3,0.8469101123595506,0.8398328690807799,0.8433566433566434,0.76,0.84,0.8,0.68,0.76,0.72,0.510548523206751,0.7908496732026143,0.6205128205128204,0.7383966244725738,0.8454106280193237,0.7882882882882882
4,0.8650568181818182,0.8481894150417827,0.8565400843881856,0.77,0.86,0.81,0.71,0.77,0.74,0.5695652173913044,0.7797619047619048,0.6582914572864322,0.808695652173913,0.8340807174887892,0.8211920529801324
5,0.8651685393258427,0.8579387186629527,0.8615384615384615,0.81,0.8,0.8,0.73,0.75,0.74,0.5541666666666667,0.8209876543209876,0.6616915422885572,0.7458333333333333,0.8605769230769231,0.7991071428571429
6,0.8649386084583902,0.883008356545961,0.8738800827015851,0.73,0.87,0.8,0.68,0.83,0.74,0.544,0.8717948717948718,0.6699507389162562,0.736,0.9019607843137255,0.8105726872246696
7,0.8626907073509015,0.8662952646239555,0.8644892286309939,0.79,0.74,0.76,0.71,0.73,0.72,0.5585585585585585,0.7380952380952381,0.6358974358974359,0.8018018018018018,0.8018018018018018,0.8018018018018018
8,0.8591352859135286,0.8579387186629527,0.8585365853658538,0.76,0.84,0.8,0.69,0.78,0.73,0.5387755102040817,0.8407643312101911,0.6567164179104478,0.746938775510204,0.8798076923076923,0.8079470198675497
9,0.8403819918144612,0.8579387186629527,0.8490696071674708,0.81,0.77,0.79,0.71,0.74,0.73,0.5336134453781513,0.8141025641025641,0.6446700507614213,0.7647058823529411,0.8625592417061612,0.8106904231625836
