,Mean,Std
NER_P,0.8587962865828838,0.009869358580976543
NER_R,0.8594707520891365,0.012516751654734657
NER_F,0.8590965703100146,0.009575103423921602
REL_P,0.7860000000000001,0.02913569784454957
REL_R,0.8119999999999999,0.0407703596037884
REL_F,0.7969999999999999,0.014181364924121777
JOINT_P,0.708,0.019888578520235047
JOINT_R,0.761,0.030713731999438512
JOINT_F,0.733,0.010593499054713813
STRICT_P,0.5476890705270716,0.02077533246653959
STRICT_R,0.8110663319521081,0.03721638269282743
STRICT_F,0.653347993129814,0.019275050612502582
RELAXED_P,0.7641442028789343,0.029202383065791322
RELAXED_R,0.8570018439450777,0.02732577870309683
RELAXED_F,0.807218166876442,0.013799601919294129
