,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.8563458856345886,0.8551532033426184,0.8557491289198607,0.78,0.84,0.81,0.7,0.77,0.73,0.5761316872427984,0.8536585365853658,0.6879606879606881,0.7654320987654321,0.8857142857142857,0.8211920529801325
1,0.8786206896551724,0.8871866295264624,0.8828828828828829,0.83,0.81,0.82,0.73,0.77,0.75,0.5819672131147541,0.8352941176470589,0.6859903381642511,0.7581967213114754,0.8685446009389671,0.8096280087527352
2,0.8635097493036211,0.8635097493036211,0.8635097493036211,0.73,0.88,0.8,0.65,0.8,0.72,0.5428571428571428,0.8260869565217391,0.6551724137931034,0.7142857142857143,0.8620689655172413,0.7812500000000001
3,0.8466850828729282,0.8537604456824512,0.8502080443828016,0.75,0.85,0.8,0.67,0.78,0.72,0.5333333333333333,0.810126582278481,0.6432160804020101,0.7541666666666667,0.8578199052132701,0.802660753880266
4,0.8530612244897959,0.8732590529247911,0.8630419821059876,0.76,0.85,0.81,0.67,0.81,0.73,0.5560165975103735,0.8375,0.6683291770573565,0.7759336099585062,0.8779342723004695,0.8237885462555066
5,0.8767313019390581,0.8816155988857939,0.8791666666666667,0.77,0.86,0.81,0.69,0.81,0.75,0.602510460251046,0.8323699421965318,0.6990291262135923,0.7824267782426778,0.8657407407407407,0.8219780219780219
6,0.8501362397820164,0.8690807799442897,0.859504132231405,0.79,0.81,0.8,0.7,0.77,0.73,0.5569620253164557,0.8048780487804879,0.6583541147132169,0.7637130801687764,0.8497652582159625,0.8044444444444445
7,0.8573407202216067,0.862116991643454,0.8597222222222223,0.82,0.76,0.79,0.72,0.74,0.73,0.5677966101694916,0.783625730994152,0.6584766584766586,0.7415254237288136,0.8254716981132075,0.7812499999999999
8,0.8678977272727273,0.850974930362117,0.859353023909986,0.83,0.77,0.8,0.77,0.73,0.75,0.5897435897435898,0.8070175438596491,0.6814814814814815,0.7777777777777778,0.8465116279069768,0.8106904231625836
9,0.8581267217630854,0.8676880222841226,0.8628808864265928,0.75,0.87,0.8,0.67,0.81,0.74,0.5425101214574899,0.8481012658227848,0.6617283950617283,0.7530364372469636,0.8857142857142857,0.8140043763676149
