,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.8495821727019499,0.8495821727019499,0.8495821727019499,0.74,0.87,0.8,0.66,0.8,0.73,0.5306122448979592,0.8280254777070064,0.6467661691542289,0.7346938775510204,0.8695652173913043,0.7964601769911505
1,0.864406779661017,0.8523676880222841,0.8583450210378682,0.81,0.76,0.78,0.74,0.71,0.72,0.542016806722689,0.7914110429447853,0.6433915211970075,0.7478991596638656,0.839622641509434,0.7911111111111112
2,0.8579545454545454,0.841225626740947,0.849507735583685,0.77,0.81,0.79,0.71,0.75,0.73,0.4581673306772908,0.8156028368794326,0.586734693877551,0.6334661354581673,0.8594594594594595,0.7293577981651376
3,0.8333333333333334,0.8356545961002786,0.8344923504867873,0.75,0.83,0.79,0.67,0.77,0.71,0.4959349593495935,0.8299319727891157,0.6208651399491094,0.7154471544715447,0.8756218905472637,0.7874720357941836
4,0.8477366255144033,0.8607242339832869,0.8541810642709053,0.73,0.85,0.78,0.65,0.81,0.72,0.516,0.8113207547169812,0.6308068459657702,0.688,0.8514851485148515,0.7610619469026548
5,0.8451882845188284,0.8440111420612814,0.8445993031358885,0.75,0.82,0.78,0.67,0.77,0.71,0.5082644628099173,0.803921568627451,0.6227848101265823,0.7272727272727273,0.8543689320388349,0.7857142857142857
6,0.8808510638297873,0.8649025069637883,0.8728039353478567,0.74,0.83,0.79,0.69,0.77,0.73,0.5454545454545454,0.8148148148148148,0.6534653465346534,0.7355371900826446,0.8557692307692307,0.7911111111111111
7,0.8758716875871687,0.8746518105849582,0.8752613240418118,0.81,0.78,0.8,0.73,0.76,0.74,0.5040983606557377,0.7935483870967742,0.6165413533834586,0.6885245901639344,0.84,0.7567567567567568
8,0.8661971830985915,0.8565459610027855,0.861344537815126,0.82,0.74,0.78,0.75,0.71,0.73,0.5173913043478261,0.7531645569620253,0.6134020618556703,0.7739130434782608,0.8202764976958525,0.796420581655481
9,0.8587412587412587,0.8551532033426184,0.8569434752267968,0.78,0.78,0.78,0.71,0.75,0.73,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.7393162393162394,0.8277511961722488,0.781038374717833
