,OC_P,OC_R,OC_F,INTV_P,INTV_R,INTV_F,MEAS_P,MEAS_R,MEAS_F
0,0.7222222222222222,0.7647058823529411,0.7428571428571428,0.9583333333333334,0.9118942731277533,0.9345372460496615,0.8825503355704698,0.9163763066202091,0.8991452991452992
1,0.7259615384615384,0.7401960784313726,0.7330097087378642,0.9227272727272727,0.8942731277533039,0.9082774049217002,0.8657718120805369,0.8989547038327527,0.8820512820512821
2,0.7801047120418848,0.7303921568627451,0.7544303797468354,0.9054054054054054,0.8854625550660793,0.8953229398663698,0.8542372881355932,0.8780487804878049,0.8659793814432989
3,0.7291666666666666,0.6862745098039216,0.7070707070707071,0.9372197309417041,0.920704845814978,0.928888888888889,0.903114186851211,0.9094076655052264,0.90625
4,0.7276995305164319,0.7598039215686274,0.7434052757793763,0.915929203539823,0.9118942731277533,0.9139072847682119,0.8821548821548821,0.9128919860627178,0.8972602739726028
5,0.7035175879396985,0.6862745098039216,0.694789081885856,0.915929203539823,0.9118942731277533,0.9139072847682119,0.8766666666666667,0.9163763066202091,0.8960817717206133
6,0.7070707070707071,0.6862745098039216,0.6965174129353234,0.9030837004405287,0.9030837004405287,0.9030837004405287,0.862876254180602,0.8989547038327527,0.8805460750853242
7,0.7323232323232324,0.7107843137254902,0.7213930348258707,0.9369369369369369,0.9162995594713657,0.9265033407572383,0.8707482993197279,0.89198606271777,0.8812392426850258
8,0.7122641509433962,0.7401960784313726,0.7259615384615384,0.9145299145299145,0.9427312775330396,0.9284164859002169,0.90625,0.9094076655052264,0.9078260869565218
9,0.7083333333333334,0.75,0.7285714285714285,0.9234234234234234,0.9030837004405287,0.9131403118040089,0.888135593220339,0.9128919860627178,0.9003436426116839
