,Mean,Std
NER_P,0.7541652157557379,0.008914008588662647
NER_R,0.7788300835654596,0.014441165025316054
NER_F,0.7662551284387404,0.010097505053993107
REL_P,0.6660000000000001,0.018378731669453606
REL_R,0.869,0.033813212407775364
REL_F,0.752,0.006324555320336764
JOINT_P,0.5660000000000001,0.012649110640673478
JOINT_R,0.763,0.02710063549890382
JOINT_F,0.6489999999999999,0.011005049346146129
STRICT_P,0.43611373676022563,0.018056055662161775
STRICT_R,0.7365484704961585,0.03554424295789926
STRICT_F,0.5476907581937792,0.022093365614786444
RELAXED_P,0.6804903622325597,0.018947297302095066
RELAXED_R,0.8135123081329013,0.024696661221330036
RELAXED_F,0.74087638733729,0.017144204998941197
