,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.5805555555555556,0.5821727019498607,0.5813630041724618,0.65,0.79,0.72,0.48,0.58,0.53,0.28761061946902655,0.5555555555555556,0.37900874635568516,0.584070796460177,0.717391304347826,0.6439024390243901
1,0.5435630689206762,0.5821727019498607,0.5622057834566241,0.66,0.78,0.72,0.45,0.61,0.52,0.29831932773109243,0.6283185840707964,0.4045584045584046,0.5756302521008403,0.7653631284916201,0.657074340527578
2,0.5193026151930261,0.5807799442896936,0.5483234714003945,0.64,0.84,0.72,0.43,0.63,0.51,0.2976190476190476,0.6637168141592921,0.4109589041095891,0.5357142857142857,0.7803468208092486,0.6352941176470588
3,0.5614754098360656,0.5724233983286908,0.566896551724138,0.64,0.83,0.72,0.47,0.58,0.52,0.3201754385964912,0.5934959349593496,0.41595441595441596,0.5964912280701754,0.7311827956989247,0.6570048309178744
4,0.528476821192053,0.5557103064066853,0.5417515274949084,0.65,0.84,0.73,0.45,0.58,0.51,0.2911392405063291,0.6,0.39204545454545453,0.5780590717299579,0.7486338797814208,0.6523809523809525
5,0.5338645418326693,0.5598885793871866,0.5465669612508497,0.64,0.76,0.7,0.45,0.56,0.5,0.24778761061946902,0.49557522123893805,0.3303834808259587,0.5088495575221239,0.6686046511627907,0.5778894472361809
6,0.5418994413407822,0.5403899721448467,0.5411436541143654,0.66,0.78,0.72,0.47,0.54,0.5,0.2782608695652174,0.5714285714285714,0.37426900584795325,0.5565217391304348,0.7272727272727273,0.6305418719211822
7,0.55,0.5668523676880223,0.5582990397805213,0.65,0.8,0.71,0.45,0.59,0.51,0.28699551569506726,0.5470085470085471,0.37647058823529417,0.6053811659192825,0.7180851063829787,0.656934306569343
8,0.55420054200542,0.5696378830083565,0.5618131868131868,0.65,0.8,0.72,0.49,0.61,0.54,0.30869565217391304,0.6016949152542372,0.40804597701149425,0.5521739130434783,0.7298850574712644,0.6287128712871288
9,0.5573770491803278,0.5682451253481894,0.5627586206896551,0.64,0.79,0.7,0.47,0.6,0.53,0.2948717948717949,0.6052631578947368,0.39655172413793105,0.5641025641025641,0.7457627118644068,0.6423357664233577
