,Mean,Std
NER_P,0.5470715045056576,0.017715700374796597
NER_R,0.5678272980501393,0.013197353642778404
NER_F,0.5571121800897105,0.012669114213400645
REL_P,0.6479999999999999,0.007888106377466161
REL_R,0.8009999999999999,0.02726414006223802
REL_F,0.716,0.009660917830792967
JOINT_P,0.46099999999999997,0.017919573407620806
JOINT_R,0.588,0.026161889160464767
JOINT_F,0.517,0.013374935098492599
STRICT_P,0.29114751168474484,0.019245891609477546
STRICT_R,0.5862057301570025,0.04659052826749332
STRICT_F,0.3888246701582181,0.025362380155821717
RELAXED_P,0.5656994573793319,0.028891368470298325
RELAXED_R,0.7332528183283208,0.030467491785594682
RELAXED_F,0.6382070943935046,0.02381880066135845
