,OC_P,OC_R,OC_F,INTV_P,INTV_R,INTV_F,MEAS_P,MEAS_R,MEAS_F
0,0.7524271844660194,0.7598039215686274,0.7560975609756099,0.9111111111111111,0.9030837004405287,0.9070796460176991,0.8881118881118881,0.8850174216027874,0.8865619546247818
1,0.7696078431372549,0.7696078431372549,0.7696078431372549,0.9298245614035088,0.933920704845815,0.9318681318681319,0.9146757679180887,0.9337979094076655,0.9241379310344827
2,0.751219512195122,0.7549019607843137,0.7530562347188264,0.95,0.920704845814978,0.9351230425055929,0.8771331058020477,0.8954703832752613,0.8862068965517241
3,0.7142857142857143,0.7107843137254902,0.7125307125307127,0.9414414414414415,0.920704845814978,0.9309576837416481,0.8662207357859532,0.9024390243902439,0.8839590443686007
4,0.7559808612440191,0.7745098039215687,0.7651331719128328,0.9417040358744395,0.9251101321585903,0.9333333333333333,0.8547854785478548,0.9024390243902439,0.8779661016949154
5,0.7939698492462312,0.7745098039215687,0.7841191066997519,0.920704845814978,0.920704845814978,0.920704845814978,0.8986486486486487,0.926829268292683,0.9125214408233276
6,0.7428571428571429,0.7647058823529411,0.7536231884057971,0.9203539823008849,0.9162995594713657,0.9183222958057394,0.87248322147651,0.9059233449477352,0.8888888888888888
7,0.7727272727272727,0.75,0.7611940298507464,0.9461883408071748,0.9295154185022027,0.9377777777777777,0.8471760797342193,0.8885017421602788,0.8673469387755101
8,0.7628865979381443,0.7254901960784313,0.743718592964824,0.9414414414414415,0.920704845814978,0.9309576837416481,0.8819444444444444,0.8850174216027874,0.8834782608695652
9,0.7609756097560976,0.7647058823529411,0.7628361858190709,0.92,0.9118942731277533,0.915929203539823,0.8783783783783784,0.9059233449477352,0.8919382504288165
