,OC_P,OC_R,OC_F,INTV_P,INTV_R,INTV_F,MEAS_P,MEAS_R,MEAS_F
0,0.7346938775510204,0.7058823529411765,0.7200000000000001,0.9254385964912281,0.9295154185022027,0.9274725274725275,0.8673469387755102,0.8885017421602788,0.8777969018932874
1,0.7894736842105263,0.7352941176470589,0.7614213197969544,0.9210526315789473,0.9251101321585903,0.923076923076923,0.8689655172413793,0.8780487804878049,0.8734835355285963
2,0.7684210526315789,0.7156862745098039,0.7411167512690356,0.9276018099547512,0.9030837004405287,0.9151785714285716,0.863481228668942,0.8815331010452961,0.8724137931034484
3,0.7169811320754716,0.7450980392156863,0.7307692307692308,0.9345794392523364,0.8810572687224669,0.9070294784580498,0.8435374149659864,0.8641114982578397,0.8537005163511188
4,0.7352941176470589,0.7352941176470589,0.735294117647059,0.9541284403669725,0.9162995594713657,0.9348314606741573,0.8469055374592834,0.9059233449477352,0.8754208754208754
5,0.7044334975369458,0.7009803921568627,0.7027027027027026,0.9417040358744395,0.9251101321585903,0.9333333333333333,0.8694158075601375,0.8815331010452961,0.8754325259515571
6,0.7868020304568528,0.7598039215686274,0.773067331670823,0.9447004608294931,0.9030837004405287,0.9234234234234235,0.8969072164948454,0.9094076655052264,0.9031141868512111
7,0.7821782178217822,0.7745098039215687,0.7783251231527093,0.9406392694063926,0.9074889867841409,0.9237668161434976,0.8918918918918919,0.9198606271777003,0.9056603773584906
8,0.7409326424870466,0.7009803921568627,0.7204030226700252,0.9288888888888889,0.920704845814978,0.9247787610619469,0.9006849315068494,0.9163763066202091,0.9084628670120899
9,0.7524271844660194,0.7598039215686274,0.7560975609756099,0.9485981308411215,0.8942731277533039,0.9206349206349206,0.8677966101694915,0.89198606271777,0.879725085910653
