,Mean,Std
NER_P,0.8001881654385503,0.01548251250039277
NER_R,0.8146239554317549,0.014746140314837236
NER_F,0.8072691305453054,0.01278594919087975
REL_P,0.754,0.03596294389136317
REL_R,0.8039999999999999,0.038064273129653846
REL_F,0.779,0.00994428926011754
JOINT_P,0.641,0.026853512081497107
JOINT_R,0.744,0.0295145914949049
JOINT_F,0.687,0.013374935098492552
STRICT_P,0.4875998032221708,0.02894313717041902
STRICT_R,0.7550219426132854,0.02677658348451616
STRICT_F,0.5918113326053869,0.021254541449992892
RELAXED_P,0.7196189979172297,0.035558636067946015
RELAXED_R,0.8196044118674296,0.021214027483699018
RELAXED_F,0.7657166425976374,0.019324188094854828
