,Mean,Std
NER_P,0.636899335146063,0.020934300681009117
NER_R,0.6593314763231197,0.01235644604931897
NER_F,0.6476731529716657,0.011247852117311729
REL_P,0.651,0.00994428926011754
REL_R,0.8400000000000001,0.021081851067789214
REL_F,0.734,0.005163977794943227
JOINT_P,0.513,0.024517567397911076
JOINT_R,0.68,0.024037008503093236
JOINT_F,0.583,0.014181364924121738
STRICT_P,0.3508905344083833,0.0209897692453871
STRICT_R,0.6627313861309136,0.028448396755537893
STRICT_F,0.4585349510777864,0.02137078461418515
RELAXED_P,0.6180211624063227,0.04289473825984063
RELAXED_R,0.7757085815897933,0.017736026302735367
RELAXED_F,0.687180216930493,0.028400126019999045
