,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.6413333333333333,0.66991643454039,0.6553133514986376,0.65,0.83,0.73,0.51,0.67,0.58,0.3459915611814346,0.6721311475409836,0.456824512534819,0.6329113924050633,0.7894736842105263,0.702576112412178
1,0.604381443298969,0.6532033426183844,0.6278447121820616,0.65,0.82,0.73,0.49,0.67,0.56,0.31932773109243695,0.6229508196721312,0.4222222222222222,0.5546218487394958,0.7415730337078652,0.6346153846153846
2,0.613607188703466,0.6657381615598886,0.6386105544422178,0.64,0.87,0.74,0.47,0.7,0.56,0.3441295546558704,0.7083333333333334,0.46321525885558584,0.5546558704453441,0.7965116279069767,0.6539379474940333
3,0.6450742240215924,0.6657381615598886,0.6552433173406443,0.63,0.88,0.73,0.51,0.73,0.6,0.36403508771929827,0.6587301587301587,0.4689265536723164,0.6491228070175439,0.774869109947644,0.7064439140811457
4,0.6129032258064516,0.6615598885793872,0.6363027461486939,0.66,0.82,0.73,0.51,0.68,0.58,0.36134453781512604,0.6991869918699187,0.47645429362880887,0.6134453781512605,0.7978142076502732,0.6935866983372921
5,0.6395193591455274,0.6671309192200557,0.6530334014996592,0.66,0.83,0.74,0.51,0.7,0.59,0.3832599118942731,0.6541353383458647,0.48333333333333334,0.6607929515418502,0.7653061224489796,0.7092198581560284
6,0.6514131897711979,0.6740947075208914,0.6625598904859685,0.66,0.82,0.73,0.54,0.66,0.59,0.33905579399141633,0.6370967741935484,0.4425770308123249,0.6094420600858369,0.7593582887700535,0.6761904761904762
7,0.6351351351351351,0.6545961002785515,0.6447187928669411,0.65,0.85,0.74,0.5,0.68,0.58,0.3442622950819672,0.6774193548387096,0.45652173913043476,0.5860655737704918,0.7814207650273224,0.6697892271662763
8,0.6705035971223021,0.649025069637883,0.6595895258315639,0.66,0.84,0.74,0.55,0.66,0.6,0.3799126637554585,0.6692307692307692,0.4846796657381615,0.6812227074235808,0.7839195979899497,0.7289719626168224
9,0.6551226551226551,0.6323119777158774,0.6435152374202694,0.65,0.84,0.73,0.54,0.65,0.59,0.3275862068965517,0.628099173553719,0.43059490084985835,0.6379310344827587,0.7668393782383419,0.6964705882352942
