,Mean,Std
NER_P,0.8397375770031914,0.012842921322626112
NER_R,0.8462395543175487,0.013930671274879515
NER_F,0.8429457466058705,0.012316580699859062
REL_P,0.778,0.033928028399998575
REL_R,0.807,0.03497618237219912
REL_F,0.791,0.0128668393770792
JOINT_P,0.686,0.02458545188611434
JOINT_R,0.758,0.016865480854231375
JOINT_F,0.719,0.00994428926011754
STRICT_P,0.5335489172156257,0.020155664362586607
STRICT_R,0.8007632674142107,0.023107056592696042
STRICT_F,0.64007078717028,0.015878311640598636
RELAXED_P,0.7567734123017339,0.02667278525252959
RELAXED_R,0.8507260088980783,0.01741189019373465
RELAXED_F,0.8006371985153574,0.014463133060536803
